round_epochs,val_loss,val_acc,loss,acc,a,b,r,batch_size,epochs
1,1.628419746292962,0.8443333298795753,1.9426129558966274,0.6472142857676816,0.15,0.9,0.5,25,1
1,0.5456875762177839,0.9249999958607885,0.8562313759788162,0.8419523783649008,0.03333333333333333,0.8666666666666667,5.1,25,1
1,0.9369944846464529,0.8873333297669888,1.4479844950494312,0.7607142837540735,0.016666666666666666,0.9333333333333333,0.5,25,1
1,0.8597881560524304,0.9267222175995509,1.1697684922388623,0.8404047592143927,0.08333333333333333,0.85,1.65,25,1
1,0.24764188159153694,0.9402777726451556,0.48644973660065305,0.8851666630999673,0.0,0.85,3.9499999999999997,25,1
1,0.6833296042349604,0.9347222170896,0.9304380484989712,0.8487619015521237,0.06666666666666667,0.9166666666666666,5.1,25,1
1,1.1136933028697968,0.8818888843887382,1.581642283499241,0.7254285712415973,0.05,0.95,0.5,25,1
1,1.0406978655192587,0.9359444388912783,1.2078113963916188,0.8836428536456965,0.15,0.9166666666666666,2.8,25,1
1,0.3968093439936638,0.9288333289325237,0.6330642972141505,0.8728095203283287,0.016666666666666666,0.85,3.9499999999999997,25,1
1,1.192091672619184,0.842999996079339,1.6185950891957397,0.6992380958094838,0.05,0.9333333333333333,0.5,25,1
1,1.0775605018768046,0.9210555520322588,1.3266012392583348,0.8201190466282978,0.15,0.9666666666666667,5.1,25,1
1,1.4730250709586674,0.8096666647328271,1.8331671560804048,0.6829761913445379,0.13333333333333333,0.9833333333333334,0.5,25,1
1,0.38166668199830583,0.9376111062864463,0.6335712575575425,0.880928568391218,0.016666666666666666,0.85,5.1,25,1
1,0.8183708103994528,0.9209999953707059,1.0604587458428882,0.8429761877904336,0.08333333333333333,0.9166666666666666,5.1,25,1
1,0.9176561961571376,0.9223333283431,1.1535450100543954,0.8668571394868195,0.11666666666666667,1.0,1.65,25,1
1,0.2959504603408277,0.9349444401760896,0.6019368420665463,0.8589761875481123,0.0,0.9,2.8,25,1
1,1.5007626856366794,0.8744999961720572,1.852048649816286,0.6925476184735696,0.1,0.85,0.5,25,1
1,1.2204640436503622,0.8567222187916438,1.6665147047667277,0.6659761912721608,0.05,0.9166666666666666,0.5,25,1
1,1.3818318396806717,0.6695000026375055,1.6204549712084588,0.6120714319027251,0.13333333333333333,0.9833333333333334,3.9499999999999997,25,1
1,1.0767340136898889,0.931944440305233,1.246764502142157,0.863928568558324,0.15,0.8666666666666667,5.1,25,1
1,1.0534741356141037,0.9337777728835742,1.3262906859318415,0.828499997438242,0.15,0.9333333333333333,3.9499999999999997,25,1
1,1.1160148497256968,0.9253888833026092,1.4121880378751528,0.7740714274479874,0.15,0.9,5.1,25,1
1,0.48605468562907644,0.9417777724564076,0.6910624910678183,0.8939523771804359,0.03333333333333333,0.85,2.8,25,1
1,0.9826811974247297,0.9396666620340612,1.1614250171752203,0.8761428544741301,0.15,1.0,2.8,25,1
1,1.4642263256841235,0.8351666641732057,1.8290485431041037,0.6698571444001227,0.13333333333333333,1.0,0.5,25,1
1,0.6980629886190096,0.9387222179108196,0.8872972526720592,0.890738091604518,0.06666666666666667,0.85,2.8,25,1
1,1.0884849712252618,0.919555551227596,1.3579559718214331,0.8480952354901958,0.15,0.95,1.65,25,1
1,0.8470233507454396,0.934499995658795,1.0603669115830034,0.8693571396260744,0.1,0.9166666666666666,2.8,25,1
1,0.5834219847288397,0.940111105889082,0.8396725972670884,0.8829761870338448,0.05,0.9166666666666666,2.8,25,1
1,1.541304692460431,0.38833333300426603,1.7278606452402614,0.36076190457901075,0.06666666666666667,0.8833333333333333,5.1,25,1
1,1.3204887678225836,0.8814999975264073,1.738381784160932,0.6843333328320157,0.1,1.0,0.5,25,1
1,1.1725158654153347,0.8128888873590363,1.5968064604770569,0.5622857144102454,0.11666666666666667,0.9666666666666667,5.1,25,1
1,1.0767004277143213,0.9398333277139399,1.3159556866756508,0.8538095207884908,0.15,0.8666666666666667,2.8,25,1
1,0.4189977381585373,0.916333330091503,0.8450343767003644,0.78569047460776,0.0,0.9666666666666667,3.9499999999999997,25,1
1,0.7751406234999497,0.9280555512342188,0.9718780024775437,0.8698333301891883,0.08333333333333333,0.9333333333333333,5.1,25,1
1,0.4109740706367625,0.934555550167958,0.7666939531319907,0.8264047596559283,0.016666666666666666,0.9666666666666667,3.9499999999999997,25,1
1,0.8336445555090904,0.9263888840874036,1.1223743624985218,0.8469999974549172,0.08333333333333333,0.9,1.65,25,1
1,0.6296727944165468,0.9346666606763999,0.9491065151812065,0.8534523786444749,0.05,0.85,3.9499999999999997,25,1
1,0.3949502282051576,0.9051111065679126,0.7306224210276491,0.775928570667193,0.0,0.9,5.1,25,1
1,0.9328075364232064,0.9276666622194979,1.195115182761635,0.8667619016642372,0.11666666666666667,0.9833333333333334,1.65,25,1
1,0.7936274919244978,0.9282222176591556,1.0621749175801163,0.853190473688855,0.08333333333333333,0.8833333333333333,2.8,25,1
1,1.5306784548693233,0.8172222204506397,1.8571937537619045,0.6565952383469613,0.13333333333333333,0.95,0.5,25,1
1,0.5673377296990818,0.8574444413185119,0.8106593361213094,0.7704761898056383,0.016666666666666666,0.9333333333333333,5.1,25,1
1,0.3897579532116652,0.940111105889082,0.7533849453376162,0.8436190455531081,0.016666666666666666,0.9833333333333334,3.9499999999999997,25,1
1,0.7568101837403245,0.937111106266578,0.9628070225318273,0.8791428540478505,0.08333333333333333,0.9166666666666666,2.8,25,1
1,0.7003423562480344,0.9301111064851284,0.980607406724067,0.8667857117285686,0.06666666666666667,1.0,1.65,25,1
1,0.9866858839160866,0.9268888844384088,1.2698223969766071,0.8524047591900896,0.11666666666666667,0.8833333333333333,1.65,25,1
1,0.9883975125849247,0.8783333294093609,1.330069005702223,0.6952857153224093,0.08333333333333333,1.0,3.9499999999999997,25,1
1,0.8461151578360133,0.9287222172651026,1.1338286590008508,0.849595235563105,0.1,1.0,1.65,25,1
1,0.6606067106955581,0.935944440215826,0.8785345001589684,0.8836666624549598,0.06666666666666667,1.0,2.8,25,1
1,0.97903610550695,0.9250555508666568,1.2009901532459826,0.8513571400284058,0.13333333333333333,0.9833333333333334,2.8,25,1
1,1.341519718368848,0.8552777750624551,1.7631768550191607,0.6387857144210665,0.06666666666666667,0.8833333333333333,0.5,25,1
1,0.49258718660308254,0.9336666617128584,0.684680334194785,0.8882619010284543,0.03333333333333333,0.8666666666666667,3.9499999999999997,25,1
1,0.9966496263113287,0.8864444414774577,1.476235150120088,0.7624523802571708,0.03333333333333333,1.0,0.5,25,1
1,1.3990378239088588,0.8040555541714033,1.773126753171285,0.6359761908561701,0.1,0.95,0.5,25,1
1,1.1003906222681203,0.9242777739961942,1.3778813011234714,0.85649999709179,0.13333333333333333,0.85,1.65,25,1
1,0.9160786730547746,0.9329444392687745,1.201302504397574,0.8409761880391411,0.11666666666666667,0.9833333333333334,2.8,25,1
1,1.4525470367736286,0.8229999985131953,1.80379478931427,0.6289285729683581,0.11666666666666667,0.9833333333333334,0.5,25,1
1,0.33044882532623077,0.9462222163875897,0.5716629719184269,0.8893809481834372,0.016666666666666666,0.9333333333333333,2.8,25,1
1,1.0358303094903627,0.9064999966157807,1.1977255239018372,0.8434999975774969,0.13333333333333333,0.9166666666666666,5.1,25,1
1,1.1412801334427463,0.8495555527508258,1.2862692366043726,0.8056904737349777,0.13333333333333333,0.9166666666666666,3.9499999999999997,25,1
1,0.9250106557375855,0.9311111066076491,1.1062380701658272,0.8711190449118259,0.11666666666666667,0.9166666666666666,3.9499999999999997,25,1
1,0.8547052906619178,0.9368888849185573,0.9892258056927294,0.8865714251418554,0.11666666666666667,1.0,3.9499999999999997,25,1
1,0.5416098183641831,0.9317222174670962,0.8487248463290078,0.8770238060060711,0.03333333333333333,0.8666666666666667,1.65,25,1
1,0.8391604080796242,0.9254444405436516,1.1171521462854885,0.8632380921038844,0.08333333333333333,0.8833333333333333,1.65,25,1
1,1.0062536771926616,0.9362777727345626,1.2616455630887122,0.8265476173144721,0.13333333333333333,0.8833333333333333,5.1,25,1
1,0.33769551554901733,0.937555551280578,0.5386114582064606,0.8776428534826707,0.016666666666666666,1.0,5.1,25,1
1,0.39529448923551375,0.9247777740160624,0.5821056641017397,0.8771190441612686,0.016666666666666666,0.9833333333333334,5.1,25,1
1,0.23635372896161344,0.941555551522308,0.5197203966522855,0.8779761875669162,0.0,0.9333333333333333,2.8,25,1
1,1.3270643889904021,0.8820555523037911,1.7417877398076511,0.6811190469234827,0.06666666666666667,0.85,0.5,25,1
1,0.7971053682267666,0.9303333290749126,1.1067724690550849,0.8428333303713728,0.08333333333333333,0.95,1.65,25,1
1,0.7932985157602364,0.9361666625572576,1.0040821701997802,0.8734047589025327,0.08333333333333333,0.8666666666666667,3.9499999999999997,25,1
1,1.2156951549980375,0.8704444399310483,1.6424274882390386,0.6892619053212304,0.05,0.8833333333333333,0.5,25,1
1,1.1336971557802624,0.9206111069354747,1.4261572618569647,0.8364523785632281,0.15,0.9,1.65,25,1
1,1.003771391759316,0.9270555503666401,1.3091773172219594,0.843690473515363,0.11666666666666667,0.8666666666666667,1.65,25,1
