gtC,ftC,gvC,fvC,minT0,minV0,minTC,minVC,sdV0,sdVC
0.0,0.0,0.15,0.0,4.868322818638104e-06,1.2900197056227152,4.868322818638104e-06,0.3675333704892881,2.694803317999208,0.6025001278334806
0.0,0.0,0.15,0.0,6.600151778332084e-06,1.797843366118007,6.600151778332084e-06,0.533394914421622,2.822975218318526,0.6884612323459883
0.0,0.0,0.15,0.0,0.0003666666669667484,2.0044733824498855,0.0003666666669667484,0.6296748546591955,2.913376809440665,0.7390807302325648
0.0,0.0,0.15,0.0,0.00032494959653801066,2.19472234280797,0.00032494959653801066,0.7171744304492258,2.962848735995642,0.791591693006549
0.0,0.0,0.15,0.0,0.0002953465286622668,2.3623868514272965,0.0002953465286622668,0.7615109003598153,3.115780740967713,0.7870728861680486
0.0,0.0,0.15,0.0,0.00027774445931912073,2.4510285776679175,0.00027774445931912073,0.8041386814999454,3.068894772566619,0.7876958920442426
0.0,0.0,0.15,0.0,0.00048009627103261704,2.5518594359401434,0.00048009627103261704,0.8334109246918561,3.109423282778085,0.7999704339418107
0.0,0.0,0.15,0.0,0.0006257993180230823,2.6330855653602296,0.0006257993180230823,0.8606093471205857,3.1275965581703997,0.7951735541804571
0.0,0.0,0.15,0.0,0.0009528947984319654,2.658633761920551,0.0009528947984319654,0.8771329720343831,3.117408273034842,0.8109939668625856
0.0,0.0,0.15,0.0,0.0009242571560992031,2.7218718704949367,0.0009242571560992031,0.8931903539789487,3.2296460672151666,0.8091039258889624
0.0,0.0,0.15,0.0,0.0009012893927324479,2.759870354156374,0.0009012893927324479,0.8991682776914047,3.183008092876597,0.8059303823264278
0.0,0.0,0.15,0.0,0.0013709252981761717,2.7799689186062095,0.0013709252981761717,0.9056000444575953,3.135550500291373,0.8058782017751303
0.0,0.0,0.15,0.0,0.001626508735906481,2.8131842019914663,0.001626508735906481,0.917333203891217,3.108952716205385,0.8008454223003194
0.0,0.0,0.15,0.0,0.0022254963664347267,2.8374303999902235,0.0022254963664347267,0.9201047802138351,3.0714159193807826,0.7947610074746742
0.0,0.0,0.15,0.0,0.0026040043637641725,2.85476774449417,0.0026040043637641725,0.9216657760593274,3.0843871618305307,0.7935737794430155
0.0,0.0,0.15,0.0,0.00340214221758915,2.895710109530419,0.00340214221758915,0.9298543092145073,3.088536354420732,0.7861364191466194
0.0,0.0,0.15,0.0,0.003948660371241416,2.9172633982029725,0.003948660371241416,0.9361674484641085,3.052730537804827,0.7798073689319673
0.0,0.0,0.15,0.0,0.004430859880801775,2.9224888011433037,0.004430859880801775,0.9340778056716877,3.0052227461513255,0.770757003867179
0.0,0.0,0.15,0.0,0.005102107581551008,2.9501636902410664,0.005102107581551008,0.940333368306643,3.0610719672452174,0.7753365182170705
0.0,0.0,0.15,0.0,0.0057804509189224,2.953350550973777,0.0057804509189224,0.9391887731192875,3.017107967711738,0.7706872135191088
0.0,0.0,0.15,0.0,0.006885776005385375,2.948239185268523,0.006885776005385375,0.9378798277804005,2.975968312303718,0.7625326476321143
