gtC,ftC,gvC,fvC,minT0,minV0,minTC,minVC,sdV0,sdVC,inf_min,inf_max
0.0,0.0,0.08249999999999999,0.0,0.3957044694855386,2.782780490802154,0.3957044694855386,1.387796207573549,6.4815462561890405,1.7251443736406815,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.3984034434124798,2.7436965200525747,0.3984034434124798,1.3776595716512325,6.422341402466642,1.709990564858803,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4010069025876461,2.706148519436457,0.4010069025876461,1.3684682221601596,6.364726462910949,1.6956311595389415,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.40376509409194383,2.669885483726601,0.40376509409194383,1.3592567290475723,6.308658815420782,1.681482325085207,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4063819234426168,2.6346113841321026,0.4063819234426168,1.3497725620430174,6.254089993119377,1.6673568999419985,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4086972474135345,2.6009782104128414,0.4086972474135345,1.3408320295017744,6.20082010506225,1.6535724588243255,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.41095761599719627,2.5683313445386284,0.41095761599719627,1.332135836148071,6.1489479852940745,1.6403063890139773,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.41333751311264777,2.5367378251543493,0.41333751311264777,1.3234110231712273,6.0983653749693065,1.6272382979449096,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.41551583312560436,2.5061203555224534,0.41551583312560436,1.315084746833595,6.0490436164190955,1.6145567786928532,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4176893572057854,2.47650580754481,0.4176893572057854,1.306971974404455,6.000902753904913,1.6021723234168859,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4198895530670246,2.4482390500670625,0.4198895530670246,1.299413455926686,5.9537910225632436,1.590021092868945,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.42207125363603304,2.4203490216157766,0.42207125363603304,1.291470971553108,5.907890888348153,1.578145176838455,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.42415233248459966,2.393774819094594,0.42415233248459966,1.2846667777221106,5.862935506861441,1.5665658177287798,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.42626159663704194,2.367509000264719,0.42626159663704194,1.2768235405009714,5.819137848585772,1.5554059289643378,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4283936431083663,2.3420093397901547,0.4283936431083663,1.2693136242791927,5.77629763478885,1.5444015631643597,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.43037215120757993,2.3174549573053094,0.43037215120757993,1.2624217210720705,5.734352866545282,1.5337183187173395,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4323052528203613,2.293690176283539,0.4323052528203613,1.2555644914080855,5.6932924470880115,1.523145829837452,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.43418895626410603,2.2704688147051892,0.43418895626410603,1.2486512317390004,5.653144577548697,1.512878954275996,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.43604653508766034,2.2478469131290226,0.43604653508766034,1.2417763522362193,5.613849361412344,1.5028305951913108,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.43780659261583715,2.226017467444214,0.43780659261583715,1.2353061910067835,5.575329483518187,1.4929834665609345,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.43953141661123074,2.2049523801249773,0.43953141661123074,1.2292279838894236,5.537541860097338,1.4832417367679862,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4412378467168771,2.1842769726165225,0.4412378467168771,1.223277979266856,5.500562346686994,1.4736895742788658,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4429063184967024,2.1640359710587167,0.4429063184967024,1.2172031019300906,5.46434537223975,1.4643947530168564,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.44461472842460187,2.1447496498810716,0.44461472842460187,1.2118509854864237,5.428735047813204,1.455187980386576,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.44622683990887285,2.1256550833341468,0.44622683990887285,1.2060887986545974,5.393887173043223,1.4461991001198442,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.44775876875977527,2.107226323119069,0.44775876875977527,1.2007775243048882,5.359660505745804,1.4373204944553073,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4492944804755948,2.08910431141933,0.4492944804755948,1.1952755760110148,5.3261253509327275,1.4287227902999993,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.4507449279787395,2.0716729692126186,0.4507449279787395,1.1901429721042203,5.293161689534753,1.4202160222041378,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.45228720743086637,2.0541710288222306,0.45228720743086637,1.1845075666492724,5.260911120027825,1.4119459868731763,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.45369963467187274,2.0374587249139275,0.45369963467187274,1.1795074113944104,5.229168984257055,1.4037493712013378,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.45517783103234044,2.0209551591981625,0.45517783103234044,1.1742665453898924,5.198037342520846,1.3957691026130141,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.45665099496944583,2.0049946098324956,0.45665099496944583,1.1692767051822563,5.167420979360868,1.3878968146649344,0.0,0.0
0.0,0.0,0.08249999999999999,0.0,0.45806248525802123,1.9893299927749786,0.45806248525802123,1.164320033918254,5.1373570436593905,1.3801574329449917,0.0,0.0
