gtC,ftC,gvC,fvC,minT0,minV0,minTC,minVC,sdV0,sdVC
0.0,0.045,0.0525,0.08249999999999999,0.03388459431319363,0.08200839892572297,0.016942297156596814,0.03255783222678149,0.08211110203287467,0.03259860598380657
0.045,0.09,0.045,0.09,0.045179459084258175,0.10934453190096396,0.005647432385532272,0.013668066487620496,0.07738277252804619,0.019345693132011548
0.045,0.09,0.045,0.09,0.05082689146979044,0.12301259838858446,0.010824245405603521,0.026197127434605953,0.0710657867988321,0.027424373963026574
0.045,0.09,0.045,0.09,0.0542153509011098,0.13121343828115672,0.01515394356784493,0.03667597840844832,0.0656395471231884,0.03226749751449154
0.045,0.09,0.045,0.09,0.056474323855322715,0.13668066487620495,0.018765162832149174,0.045415947590254545,0.061150936441917166,0.035352066663572275
0.045,0.09,0.045,0.09,0.058087875965474794,0.14058582672981082,0.02181253527573917,0.05279127965766182,0.057414432243209704,0.03738594727756544
0.045,0.09,0.045,0.09,0.05929804004808885,0.1435146981200152,0.024419334358935164,0.059100324327283446,0.05426041627435827,0.038751628635533476
0.045,0.09,0.045,0.09,0.0602392787790109,0.1457927092012853,0.02667783242512624,0.064566401585675,0.05155983082686702,0.03967239015733684
0.045,0.09,0.045,0.09,0.06099226976374853,0.14761511806630132,0.02865678045390527,0.06935590438737133,0.049217345230167985,0.04028631609945875
0.045,0.09,0.045,0.09,0.06160835329671569,0.14910617986495084,0.030407964814277502,0.07359416748388344,0.04716223406586846,0.040682751864669964
0.045,0.09,0.045,0.09,0.06212175624085499,0.15034873136382543,0.03197098621215372,0.07737703355988555,0.04534129523641636,0.040921649492718315
0.045,0.09,0.045,0.09,0.06255617411666516,0.1514001210936424,0.033376603899151945,0.08077894697655347,0.04371385765393934,0.041044457529408954
0.045,0.09,0.045,0.09,0.06292853229593103,0.15230131229062838,0.034649068279070945,0.08385859920796702,0.04224832892465905,0.04108055429311559
0.045,0.09,0.045,0.09,0.06325124271796144,0.15308234466134954,0.03580776325156224,0.08666290368506968,0.040919798083830644,0.041051204673998705
0.045,0.09,0.045,0.09,0.06353361433723805,0.15376574798573056,0.03686837864354013,0.08922983334543799,0.039708350325592605,0.04097207838754027
0.045,0.09,0.045,0.09,0.06378276576601154,0.15436875091900792,0.03784375988945454,0.0915904770521408,0.03859786430369307,0.04085490042306872
0.045,0.09,0.045,0.09,0.06400423370269907,0.15490475352636562,0.038744533107855354,0.09377055242071201,0.03757514034957407,0.040708560648576725
0.045,0.09,0.045,0.09,0.06420238922499846,0.155384334806633,0.039579571589471375,0.09579153482604164,0.0366292589004293,0.04053987663544438
0.045,0.09,0.045,0.09,0.0643807291950679,0.15581595795887362,0.040356348657048,0.09767151140316634,0.03575110151090885,0.04035412851170237
0.045,0.09,0.045,0.09,0.0645420844060831,0.15620647414423422,0.0410812079473651,0.09942583519101807,0.03493298840787376,0.040155440595319294
0.045,0.09,0.045,0.09,0.06468877096155147,0.15656148885819837,0.041759572866381454,0.10106763206135119,0.03416840078429544,0.03994705799541624
0.045,0.09,0.045,0.09,0.06482270216437042,0.15688563272747003,0.042396110667530434,0.10260819782541002,0.033451765542505334,0.03973154992751622
0.045,0.09,0.045,0.09,0.06494547243362113,0.1571827646076357,0.04299486227487273,0.1040573124353856,0.03277828664474321,0.03951096106993488
0.045,0.09,0.045,0.09,0.06505842108133177,0.1574561259373881,0.043559345958944104,0.10542349090346784,0.03214381166040187,0.039286925544480614
0.045,0.09,0.045,0.09,0.06516268137152621,0.1577084594725442,0.04409264084686332,0.10671418541523596,0.03154472518699981,0.03906075365474139
0.045,0.09,0.045,0.09,0.0652592186772618,0.15794210163472572,0.04459745472930517,0.10793594943790316,0.030977863001657887,0.03883349852719184
0.045,0.09,0.045,0.09,0.06534886046115913,0.15815905507103714,0.0450761795288801,0.10909457196636861,0.03044044235799799,0.03860600776155032
0.045,0.09,0.045,0.09,0.06543232005306356,0.15836104620139607,0.045530936991715586,0.11019518810720107,0.02993000497041649,0.03837896378511177
0.045,0.09,0.045,0.09,0.06551021567217434,0.15854957125639774,0.045963616570938975,0.11124237076525492,0.029444370052033608,0.038152915614977675
0.045,0.09,0.045,0.09,0.06558308576747154,0.15872593340462512,0.0463759070281735,0.11224020712645325,0.02898159538194324,0.03792830402796036
0.045,0.09,0.045,0.09,0.06565140148181264,0.15889127291858826,0.046769322945764615,0.11319236282338536,0.028539944832255585,0.03770548163168847
0.045,0.09,0.0525,0.08249999999999999,0.06571557684983007,0.15904659185594758,0.04714522708908005,0.11409527961709076,0.028117861128175246,0.023870066323085384
0.045,0.09,0.0525,0.08249999999999999,0.06577597719619939,0.15919277438522694,0.047504849364049535,0.11445721244317558,0.027713942874906087,0.023608109777198037
0.045,0.09,0.0525,0.08249999999999999,0.06583292609420477,0.1593306036271189,0.04784930296512004,0.11480159019609897,0.02732692508488966,0.02335485671282665
0.045,0.09,0.0525,0.08249999999999999,0.06588671116454317,0.1594607756889058,0.04817959819207766,0.11512970691268062,0.02695566259317285,0.023109835585831136
0.045,0.09,0.0525,0.08249999999999999,0.0659375889337822,0.1595839114230285,0.04849665432270496,0.11544273005722946,0.026599115868785037,0.022872609309489002
0.045,0.09,0.0525,0.08249999999999999,0.06598578892569286,0.15970056632903948,0.04880130985606487,0.1157417158102689,0.026256338824124044,0.022642772180739026
0.045,0.09,0.0525,0.08249999999999999,0.06603151712314656,0.15981123893217808,0.04909433138389171,0.11602762217573259,0.02592646829861298,0.02241994711801123
0.045,0.09,0.0525,0.08249999999999999,0.0660749589107276,0.15991637790515978,0.049376421301789895,0.11630132026345048,0.025608714951854496,0.022203783177320986
0.045,0.09,0.0525,0.08249999999999999,0.06611628158671928,0.16001638814775213,0.04964822453516313,0.1165636040382771,0.02530235534860934,0.02199395331659558
0.045,0.09,0.0525,0.08249999999999999,0.06615563651623518,0.16011163599784006,0.0499103344250869,0.11681519877500303,0.025006725055763974,0.021790152381333888
0.045,0.09,0.0525,0.08249999999999999,0.06619316098391313,0.1602024537153658,0.05016329789521591,0.11705676841630867,0.02472121260201418,0.021592095287608797
0.045,0.09,0.0525,0.08249999999999999,0.06622897979396937,0.16028914335482214,0.0504076200011336,0.117288921997243,0.024445254175805276,0.021399515381077556
0.045,0.09,0.0525,0.08249999999999999,0.06626320665691199,0.1603719801214138,0.05064376794741374,0.11751221927232329,0.024178328957314858,0.021212162953062417
